Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
1,NICK EARL,1500,01:07:09,01:07:08,M30-39,1,M,1,view
2,CHRIS SANSON,1599,01:08:58,01:08:58,M20-29,1,M,2,view
3,NICK HORSPOOL,2005,01:09:01,01:08:59,M30-39,2,M,3,view
4,JONATHAN JACKSON,1991,01:09:34,01:09:33,M20-29,2,M,4,view
5,RUSS BEST,1310,01:10:20,01:10:19,M20-29,3,M,5,view
6,LACHLAN HAITANA,1355,01:14:28,01:14:26,MU20,1,M,6,view
7,ANDREW WHARTON,2095,01:15:50,01:15:49,M40-49,1,M,7,view
8,ALASDAIR SAUNDERS,1796,01:16:15,01:16:13,M30-39,3,M,8,view
9,RICHARD SWAN,1581,01:16:40,01:16:38,M30-39,4,M,9,view
10,ANTHONY JACKSON,2112,01:16:49,01:16:47,M30-39,5,M,10,view
11,SIMON KELLER,1680,01:16:51,01:16:50,M40-49,2,M,11,view
12,PAUL BARWICK,2042,01:17:10,01:17:09,M40-49,3,M,12,view
13,RUBY MUIR,1801,01:17:40,01:17:38,F20-29,1,F,1,view
14,GEOFF FERRY,1109,01:18:18,01:18:16,M30-39,6,M,13,view
15,STEWART MILNE,1961,01:18:19,01:18:17,M40-49,4,M,14,view
16,NATHAN MARTIN,1805,01:19:31,01:19:30,M30-39,7,M,15,view
17,KANE ARMSTRONG,2046,01:20:12,01:20:10,M20-29,4,M,16,view
18,HANNAH MILLER,1145,01:20:15,01:20:13,FU20,1,F,2,view
19,STEVE CHARLES,1867,01:20:16,01:20:13,M30-39,8,M,17,view
20,WILLIAM KELSEY,2038,01:20:51,01:20:49,M30-39,9,M,18,view
21,JOSHUA JAQUES,1739,01:21:37,01:21:33,M20-29,5,M,19,view
22,MATT MCCRUDDEN,2113,01:21:54,01:21:52,M40-49,5,M,20,view
23,GLEN SCANLON,1780,01:21:57,01:21:56,M40-49,6,M,21,view
24,PATRICK DRABCZYNSKI,2150,01:23:02,01:22:58,M30-39,10,M,22,view
25,HAYDEN SNELL,1526,01:23:27,01:23:24,MU20,2,M,23,view
26,JOSHUA HARDIKER,1989,01:23:39,01:23:32,M20-29,6,M,24,view
27,SHANE PRICE,2001,01:23:40,01:23:37,M40-49,7,M,25,view
28,JAMIE GARDNER,1693,01:23:42,01:23:38,M20-29,7,M,26,view
29,NICK HEGAN,1854,01:23:42,01:23:39,M50-59,1,M,27,view
30,GARETH MCCASH,1929,01:23:44,01:23:40,M30-39,11,M,28,view
31,REBECCA ELLIOTT,1550,01:23:52,01:23:50,F20-29,2,F,3,view
32,KATHERINE BADHAM,2003,01:24:06,01:24:04,FU20,2,F,4,view
33,SETH CAMPBELL,1521,01:24:22,01:24:14,M40-49,8,M,29,view
34,PETER KENNY,1111,01:24:29,01:24:26,M40-49,9,M,30,view
35,DAN EDMONDS,1520,01:24:47,01:24:46,M20-29,8,M,31,view
36,JACOB PLATT,1809,01:24:56,01:24:53,M20-29,9,M,32,view
37,KAREN TOULMIN,2021,01:25:13,01:25:11,F30-39,1,F,5,view
38,WIREMU WINEERA,1839,01:25:28,01:25:23,M30-39,12,M,33,view
39,BRENT BURSON,1718,01:25:30,01:25:28,M50-59,2,M,34,view
40,KATIE WYRILL,1209,01:25:31,01:25:28,F30-39,2,F,6,view
41,ANTHONY DOWD,2000,01:26:18,01:26:15,M40-49,10,M,35,view
42,PIP MEO,1820,01:26:33,01:26:32,F30-39,3,F,7,view
43,GEOFF JORGENSEN,2037,01:26:41,01:26:37,M30-39,13,M,36,view
44,ANDREW WYLLIE,1891,01:26:42,01:26:38,M20-29,10,M,37,view
45,CRAIG NIEPER,1447,01:26:42,01:26:39,M30-39,14,M,38,view
46,CONNOR SHIVNAN,1920,01:27:01,01:26:58,M20-29,11,M,39,view
47,GEORGE BOOTY,1996,01:27:18,01:27:15,M20-29,12,M,40,view
48,TOM CRUMPTON,1859,01:27:19,01:27:16,M30-39,15,M,41,view
49,MATTHEW WINTHROP,2111,01:27:27,01:27:25,M30-39,16,M,42,view
50,DANIEL RUSS,1637,01:27:28,01:27:21,M30-39,17,M,43,view
51,RAJIV RAJPAL,2070,01:27:29,01:27:26,M30-39,18,M,44,view
52,ROB BRIER,1987,01:27:31,01:27:26,M30-39,19,M,45,view
53,LINDSAY BARWICK,2043,01:27:33,01:27:31,F40-49,1,F,8,view
54,TOM MCLAUGHLIN,1694,01:27:39,01:27:36,M20-29,13,M,46,view
55,ANDREW THOMPSON,1582,01:27:39,01:27:33,M30-39,20,M,47,view
56,KEITH WALSH,1267,01:27:47,01:27:43,M20-29,14,M,48,view
57,DEAN GALT,1704,01:27:56,01:27:52,M40-49,11,M,49,view
58,MATT SUTHERLAND,1797,01:27:59,01:27:58,M30-39,21,M,50,view
59,SAMUEL WILSON,1707,01:28:10,01:28:01,M30-39,22,M,51,view
60,DEIRBHLE HEFFRON,1950,01:28:12,01:28:04,F20-29,3,F,9,view
61,JACK GRINSTED,1772,01:28:14,01:28:06,M30-39,23,M,52,view
62,SHANE TURK,1312,01:28:16,01:28:12,M40-49,12,M,53,view
63,COLIN PRICE,1673,01:28:19,01:28:17,M50-59,3,M,54,view
64,AARON MOREY,1408,01:28:33,01:28:28,M30-39,24,M,55,view
65,DANNY EAGLETON,1675,01:28:49,01:28:42,M40-49,13,M,56,view
66,IAN MACFARLANE,2010,01:28:52,01:28:49,M50-59,4,M,57,view
67,DAVID OLIVER,1835,01:29:03,01:28:56,M30-39,25,M,58,view
68,DAVE SCOTT,1419,01:29:15,01:29:14,M50-59,5,M,59,view
69,DAMON DRAVITZKI,2016,01:29:16,01:29:09,M30-39,26,M,60,view
70,JEFFREY WANG,1607,01:29:19,01:29:18,MU20,3,M,61,view
71,FABION STREHLER,2133,01:29:22,01:29:04,M20-29,15,M,62,view
72,CHANDIMA KULATHILAKE,1806,01:29:23,01:29:20,M40-49,14,M,63,view
73,BRENDON MAY,1721,01:29:23,01:29:20,M30-39,27,M,64,view
74,JOHN HARTEVELT,1959,01:29:24,01:29:21,M30-39,28,M,65,view
75,PHILL JONES,2108,01:29:39,01:29:34,M30-39,29,M,66,view
76,GLENN HODGSON,1838,01:29:46,01:29:42,M30-39,30,M,67,view
77,BELLA CORDWELL,2006,01:29:49,01:29:39,FU20,3,F,10,view
78,GAVIN CHAMPION,2007,01:29:50,01:29:47,M40-49,15,M,68,view
79,LETHA WHITHAM,2068,01:29:54,01:29:51,F30-39,4,F,11,view
80,KANE MCCOLLUM,1759,01:29:58,01:29:56,M30-39,31,M,69,view
81,SEAN BARDSLEY,1655,01:29:58,01:29:54,M40-49,16,M,70,view
