Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position,Run
1,MICHAEL SUTTON,7055,01:28:43,NZL,20-34,1,Male,1,01:28:43
2,LIAM DOOLEY,7324,01:29:35,NZL,20-34,2,Male,2,01:29:35
3,ROBERT SMITH,8016,01:30:21,GBR,20-34,3,Male,3,01:30:21
4,BEN DUFFUS,7005,01:30:25,AUS,20-34,4,Male,4,01:30:25
5,GEORGE RICE,8368,01:31:16,,20-34,5,Male,5,01:31:16
6,JAMES ALEXANDER,7069,01:32:24,AUS,35-39,1,Male,6,01:32:24
7,JAKE WILKINSON,8184,01:32:24,NZL,20-34,6,Male,7,01:32:24
8,RAINER KRAVETS,7610,01:34:35,EST,20-34,7,Male,8,01:34:35
9,STEVE MORROW,7772,01:35:39,NZL,50-54,1,Male,9,01:35:39
10,JONNY MCKEE,7724,01:38:30,NZL,45-49,1,Male,10,01:38:30
11,ANTS BLACKMOORE,7127,01:39:35,NZL,35-39,2,Male,11,01:39:35
12,"""YEONG JIA WEN,"" JONATHAN",7566,01:39:52,SGP,20-34,8,Male,12,01:39:52
13,DEAN CHIPLIN,7226,01:40:07,NZL,50-54,2,Male,13,01:40:07
14,REGAN BONES,7137,01:40:27,NZL,20-34,9,Male,14,01:40:27
15,SCOTT NICKLEY,8378,01:40:42,USA,20-34,10,Male,15,01:40:42
16,EMIR NEHUEN JARA,8472,01:40:52,ARG,35-39,3,Male,16,01:40:52
17,STEPHAN TORNIER,8100,01:41:06,DEU,35-39,4,Male,17,01:41:06
18,BETH GARLAND,7404,01:41:16,GBR,20-34,1,Female,1,01:41:16
19,BEN GREEN,7433,01:42:04,NZL,35-39,5,Male,18,01:42:04
20,ISAAC SIEBERT,8002,01:42:50,AUS,16-17,1,Male,19,01:42:50
21,MACS GREEN,7431,01:43:50,NZL,18-19,1,Male,20,01:43:50
22,JONTY ORAM,7822,01:45:02,NZL,20-34,11,Male,21,01:45:02
23,CHRIS NOAKES,7809,01:46:47,NZL,35-39,6,Male,22,01:46:47
24,SETH HERBERT,8293,01:46:53,NZL,20-34,12,Male,23,01:46:53
25,KEN VAZEY,8126,01:47:53,NZL,40-44,1,Male,24,01:47:53
26,NATHAN MCKINLAY,7728,01:48:20,NZL,40-44,2,Male,25,01:48:20
27,JESSICA RONAN,7940,01:48:26,AUS,20-34,2,Female,2,01:48:26
28,CLAY WILSON,8195,01:49:28,NZL,35-39,7,Male,26,01:49:28
29,BEN HOBSON,8470,01:49:37,GBR,35-39,8,Male,27,01:49:37
30,RACH PETERS,8371,01:50:24,USA,35-39,1,Female,3,01:50:24
31,ALAN PRESTON,7887,01:50:33,NZL,35-39,9,Male,28,01:50:33
32,BERNARD ROBINSON,7931,01:51:07,NZL,50-54,3,Male,29,01:51:07
33,STEPHEN DOBSON,7317,01:51:12,NZL,40-44,3,Male,30,01:51:12
34,KIERAN WILSON,8193,01:51:39,AUS,20-34,13,Male,31,01:51:39
35,AIDAN POTTER,8258,01:51:55,NZL,40-44,4,Male,32,01:51:55
36,TRAVIS EY,7358,01:52:06,AUS,20-34,14,Male,33,01:52:06
37,QUENTIN REVINCI,7923,01:52:57,FRA,35-39,10,Male,34,01:52:57
38,GARETH SMITH,8021,01:53:25,GBR,35-39,11,Male,35,01:53:25
39,DAVE DIMECH,7311,01:54:05,AUS,50-54,4,Male,36,01:54:05
40,TRACY MCCARTNEY,7710,01:54:26,NZL,45-49,1,Female,4,01:54:26
41,RICHARD STONE,8462,01:54:46,NZL,55-59,1,Male,37,01:54:46
42,ANGELA HANCOCK,8477,01:55:06,NZL,45-49,2,Female,5,01:55:06
43,JEREMY RAIKES,8464,01:55:11,NZL,40-44,5,Male,38,01:55:11
44,JULIAN SMITH,8018,01:55:12,NZL,20-34,15,Male,39,01:55:12
45,ALLAN LIGHTBOURNE,8454,01:55:21,NZL,45-49,2,Male,40,01:55:21
46,EDWARD PETERS,8266,01:55:23,GBR,40-44,6,Male,41,01:55:23
47,TOM OLIVER,8369,01:55:38,GBR,20-34,16,Male,42,01:55:38
48,RHYS JOHNSTON,8341,01:55:40,NZL,45-49,3,Male,43,01:55:40
49,KATE SHEDDEN,7993,01:56:00,AUS,35-39,2,Female,6,01:56:00
50,MAIA LYTHE,7661,01:56:08,NZL,18-19,1,Female,7,01:56:08
51,KIERAN LAWSON,7628,01:57:05,NZL,16-17,2,Male,44,01:57:05
52,GREGORY CATER,7214,01:57:23,NZL,45-49,4,Male,45,01:57:23
53,KEVIN HARTNETT,7476,01:57:27,IRL,40-44,7,Male,46,01:57:27
54,MARTIN RAUDNIC,8242,01:57:28,NZL,40-44,8,Male,47,01:57:28
55,SCOTT O’BRIEN,8395,01:57:52,NZL,40-44,9,Male,48,01:57:52
56,SARAH GRACE BREEN,7154,01:58:25,IRL,20-34,3,Female,8,01:58:25
57,CALEB WAUGH,8152,01:58:56,NZL,35-39,12,Male,49,01:58:56
